delta,theta,low_a,high_a,low_b,high_b,low_g,high_g,att,med,chksum,total,,dfrac,tfrac,lafrac,hafrac,lbfrac,hbfrac,lgfrac,hgfrac
35,16,5,2,1,1,1,0,0,0,3,61,,0.57377,0.26230,0.081967,0.032787,0.016393,0.016393,0.016393,0
14,3,0,0,1,0,0,0,0,0,46,18,,0.77778,0.16667,0,0,0.055556,0,0,0
787551,395106,72074,33063,8992,6919,5684,11424,0,0,155,1320813,,0.59626,0.29914,0.054568,0.025032,0.0068079,0.0052384,0.0043034,0.0086492
38246,7424,5832,1345,2488,2598,1333,1090,0,0,172,60356,,0.63367,0.12300,0.096627,0.022284,0.041222,0.043045,0.022086,0.018060
170199,60849,10063,11647,10242,13276,2672,7039,0,0,219,285987,,0.59513,0.21277,0.035187,0.040726,0.035813,0.046422,0.0093431,0.024613
238927,40307,8659,3486,3534,998,789,590,0,0,135,297290,,0.80368,0.13558,0.029126,0.011726,0.011887,0.0033570,0.0026540,0.0019846
43214,13020,2078,1914,2760,2761,1001,863,51,30,234,67611,,0.63916,0.19257,0.030735,0.028309,0.040822,0.040837,0.014805,0.012764
1400139,269586,7317,63955,36435,10712,30713,15825,47,24,69,1834682,,0.76315,0.14694,0.0039882,0.034859,0.019859,0.0058386,0.016740,0.0086255
95089,165233,35143,8246,24129,7855,7357,4177,47,16,113,347229,,0.27385,0.47586,0.10121,0.023748,0.069490,0.022622,0.021188,0.012030
647661,3555,3276,2423,337,1180,439,254,56,40,50,659125,,0.98261,0.0053935,0.0049702,0.0036761,0.00051128,0.0017903,0.00066603,0.00038536
8659,5028,1798,2590,1348,493,318,246,44,60,165,20480,,0.42280,0.24551,0.087793,0.12646,0.065820,0.024072,0.015527,0.012012
145597,23606,11729,12096,5579,6248,1318,1738,60,78,126,207911,,0.70029,0.11354,0.056414,0.058179,0.026834,0.030051,0.0063393,0.0083593
43654,17418,4030,7528,3348,6018,1015,929,77,90,138,83940,,0.52006,0.20751,0.048010,0.089683,0.039886,0.071694,0.012092,0.011067
17102,26557,10176,2539,1370,4023,281,544,75,69,89,62592,,0.27323,0.42429,0.16258,0.040564,0.021888,0.064273,0.0044894,0.0086912
126312,89330,10104,35918,4426,2633,1184,2348,63,64,53,272255,,0.46395,0.32811,0.037112,0.13193,0.016257,0.0096711,0.0043489,0.0086243
243430,174636,43309,20880,17073,10026,2038,2256,51,51,172,513648,,0.47392,0.33999,0.084316,0.040650,0.033239,0.019519,0.0039677,0.0043921
90616,41650,12299,11580,2592,9604,1085,3126,48,51,78,172552,,0.52515,0.24138,0.071277,0.067110,0.015022,0.055659,0.0062880,0.018116
519475,86651,22532,23999,7654,9138,2157,2048,43,54,54,673654,,0.77113,0.12863,0.033447,0.035625,0.011362,0.013565,0.0032019,0.0030401
481106,138288,5529,46518,16977,5977,3834,4134,50,47,160,702363,,0.68498,0.19689,0.0078720,0.066231,0.024171,0.0085098,0.0054587,0.0058858
205514,69633,13935,4453,9433,1616,1255,728,41,40,212,306567,,0.67037,0.22714,0.045455,0.014525,0.030770,0.0052713,0.0040937,0.0023747
113339,34063,43355,7346,13245,6546,3330,2910,35,54,17,224134,,0.50568,0.15198,0.19343,0.032775,0.059094,0.029206,0.014857,0.012983
1059353,200813,32324,7345,22449,3129,3167,1403,17,37,137,1329983,,0.79652,0.15099,0.024304,0.0055226,0.016879,0.0023527,0.0023812,0.0010549
478115,37686,22417,18370,6920,3482,4340,2942,21,54,8,574272,,0.83256,0.065624,0.039036,0.031988,0.012050,0.0060633,0.0075574,0.0051230
81497,9708,7923,8196,2966,2027,2391,149,37,83,123,114857,,0.70955,0.084522,0.068981,0.071358,0.025823,0.017648,0.020817,0.0012973
93356,93044,7432,1523,1031,697,774,961,13,47,116,198818,,0.46956,0.46799,0.037381,0.0076603,0.0051856,0.0035057,0.0038930,0.0048336
218561,412704,12928,13357,26497,13657,4807,4495,23,41,140,707006,,0.30914,0.58373,0.018286,0.018892,0.037478,0.019317,0.0067991,0.0063578
